source_file,record_index,epoch_tt2000,epoch_utc,channel,cdf_variable,baseline,baseline_sigma,baseline_samples,peak_count
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,16,812609313315468800,2025-10-01T16:47:24.131468800,tof_high,TOF_High,0.14767899999999998,0.000856942800000034,781,2
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,16,812609313315468800,2025-10-01T16:47:24.131468800,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,16,812609313315468800,2025-10-01T16:47:24.131468800,tof_low,TOF_Low,263.682,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,17,812609392314456832,2025-10-01T16:48:43.130456832,tof_high,TOF_High,0.147968,0.0008569427999999928,781,1
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,17,812609392314456832,2025-10-01T16:48:43.130456832,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,17,812609392314456832,2025-10-01T16:48:43.130456832,tof_low,TOF_Low,263.682,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,18,812609398314371328,2025-10-01T16:48:49.130371328,tof_high,TOF_High,0.147968,0.0008569427999999928,781,1
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,18,812609398314371328,2025-10-01T16:48:49.130371328,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,18,812609398314371328,2025-10-01T16:48:49.130371328,tof_low,TOF_Low,263.682,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,19,812609404314285696,2025-10-01T16:48:55.130285696,tof_high,TOF_High,0.14767899999999998,0.000856942800000034,781,1
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,19,812609404314285696,2025-10-01T16:48:55.130285696,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,19,812609404314285696,2025-10-01T16:48:55.130285696,tof_low,TOF_Low,263.682,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,20,812609410314220416,2025-10-01T16:49:01.130220416,tof_high,TOF_High,0.147968,0.0008569427999999928,781,1
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,20,812609410314220416,2025-10-01T16:49:01.130220416,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,20,812609410314220416,2025-10-01T16:49:01.130220416,tof_low,TOF_Low,263.682,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,0,815539305676580736,2025-11-04T14:40:36.492580736,tof_high,TOF_High,0.14767899999999998,0.000856942800000034,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,0,815539305676580736,2025-11-04T14:40:36.492580736,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,0,815539305676580736,2025-11-04T14:40:36.492580736,tof_low,TOF_Low,264.196,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,1,815539406675349504,2025-11-04T14:42:17.491349504,tof_high,TOF_High,0.147968,0.0008569427999999928,781,2
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,1,815539406675349504,2025-11-04T14:42:17.491349504,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,1,815539406675349504,2025-11-04T14:42:17.491349504,tof_low,TOF_Low,264.196,0.7620564000000148,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,2,815539412675244032,2025-11-04T14:42:23.491244032,tof_high,TOF_High,0.14767899999999998,0.000856942800000034,781,2
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,2,815539412675244032,2025-11-04T14:42:23.491244032,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,2,815539412675244032,2025-11-04T14:42:23.491244032,tof_low,TOF_Low,264.196,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,3,815539418675138560,2025-11-04T14:42:29.491138560,tof_high,TOF_High,0.14767899999999998,0.000856942800000034,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,3,815539418675138560,2025-11-04T14:42:29.491138560,tof_mid,TOF_Mid,5.7969,0.01675338000000046,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,3,815539418675138560,2025-11-04T14:42:29.491138560,tof_low,TOF_Low,264.196,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,4,815539424675013248,2025-11-04T14:42:35.491013248,tof_high,TOF_High,0.14767899999999998,0.000856942800000034,781,2
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,4,815539424675013248,2025-11-04T14:42:35.491013248,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,4,815539424675013248,2025-11-04T14:42:35.491013248,tof_low,TOF_Low,264.196,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,5,815539430674907648,2025-11-04T14:42:41.490907648,tof_high,TOF_High,0.147968,0.0008569427999999928,781,2
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,5,815539430674907648,2025-11-04T14:42:41.490907648,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,5,815539430674907648,2025-11-04T14:42:41.490907648,tof_low,TOF_Low,264.196,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,6,815539526673121024,2025-11-04T14:44:17.489121024,tof_high,TOF_High,0.147968,0.0008569427999999928,781,2
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,6,815539526673121024,2025-11-04T14:44:17.489121024,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,6,815539526673121024,2025-11-04T14:44:17.489121024,tof_low,TOF_Low,264.196,0.7620564000000148,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,7,815539532673015424,2025-11-04T14:44:23.489015424,tof_high,TOF_High,0.147968,0.0008569427999999928,781,2
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,7,815539532673015424,2025-11-04T14:44:23.489015424,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,7,815539532673015424,2025-11-04T14:44:23.489015424,tof_low,TOF_Low,264.196,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,8,815539538672890112,2025-11-04T14:44:29.488890112,tof_high,TOF_High,0.147968,0.0008569427999999928,781,3
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,8,815539538672890112,2025-11-04T14:44:29.488890112,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,8,815539538672890112,2025-11-04T14:44:29.488890112,tof_low,TOF_Low,264.196,0.7620564000000148,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,9,815539544672784640,2025-11-04T14:44:35.488784640,tof_high,TOF_High,0.14767899999999998,0.000856942800000034,781,2
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,9,815539544672784640,2025-11-04T14:44:35.488784640,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,9,815539544672784640,2025-11-04T14:44:35.488784640,tof_low,TOF_Low,264.196,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,10,815539550672679296,2025-11-04T14:44:41.488679296,tof_high,TOF_High,0.14767899999999998,0.000856942800000034,781,2
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,10,815539550672679296,2025-11-04T14:44:41.488679296,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,10,815539550672679296,2025-11-04T14:44:41.488679296,tof_low,TOF_Low,264.196,0.7620564000000148,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,11,815539646670912512,2025-11-04T14:46:17.486912512,tof_high,TOF_High,0.147968,0.0008569427999999928,781,2
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,11,815539646670912512,2025-11-04T14:46:17.486912512,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,11,815539646670912512,2025-11-04T14:46:17.486912512,tof_low,TOF_Low,264.196,0.7620564000000148,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,12,815539652670807040,2025-11-04T14:46:23.486807040,tof_high,TOF_High,0.14767899999999998,0.000856942800000034,781,2
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,12,815539652670807040,2025-11-04T14:46:23.486807040,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,12,815539652670807040,2025-11-04T14:46:23.486807040,tof_low,TOF_Low,264.196,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,13,815539658670701568,2025-11-04T14:46:29.486701568,tof_high,TOF_High,0.14767899999999998,0.000856942800000034,781,2
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,13,815539658670701568,2025-11-04T14:46:29.486701568,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,13,815539658670701568,2025-11-04T14:46:29.486701568,tof_low,TOF_Low,263.682,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,14,815539664670596224,2025-11-04T14:46:35.486596224,tof_high,TOF_High,0.147968,0.0008569427999999928,781,2
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,14,815539664670596224,2025-11-04T14:46:35.486596224,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,14,815539664670596224,2025-11-04T14:46:35.486596224,tof_low,TOF_Low,264.196,0.7620564000000148,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,15,815539670670490880,2025-11-04T14:46:41.486490880,tof_high,TOF_High,0.14767899999999998,0.000856942800000034,781,2
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,15,815539670670490880,2025-11-04T14:46:41.486490880,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,15,815539670670490880,2025-11-04T14:46:41.486490880,tof_low,TOF_Low,264.196,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,16,815539760668849408,2025-11-04T14:48:11.484849408,tof_high,TOF_High,0.147968,0.0008569427999999928,781,2
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,16,815539760668849408,2025-11-04T14:48:11.484849408,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,16,815539760668849408,2025-11-04T14:48:11.484849408,tof_low,TOF_Low,264.196,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,17,815539766668744064,2025-11-04T14:48:17.484744064,tof_high,TOF_High,0.147968,0.0008569427999999928,781,2
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,17,815539766668744064,2025-11-04T14:48:17.484744064,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,17,815539766668744064,2025-11-04T14:48:17.484744064,tof_low,TOF_Low,264.196,1.5241127999999453,781,0
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,18,815539772668638592,2025-11-04T14:48:23.484638592,tof_high,TOF_High,0.147968,0.0008569427999999928,781,2
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,18,815539772668638592,2025-11-04T14:48:23.484638592,tof_mid,TOF_Mid,5.7969,0.01675337999999914,781,1
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,18,815539772668638592,2025-11-04T14:48:23.484638592,tof_low,TOF_Low,264.196,0.7620564000000148,781,0
