epoch_tt2000,qpeak_count,max_width_us,channels,epoch_utc,source_file,record_index,event_time,date
828625591211745920,1,0.0505305039787797,tof_high,2026-04-05T01:45:22.027745920,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,286,2026-04-05 01:45:22.027745920,2026-04-05
828682221115032960,1,0.0418223443223447,tof_high,2026-04-05T17:29:11.931032960,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,293,2026-04-05 17:29:11.931032960,2026-04-05
828890665500094080,1,0.0428205128205122,tof_high,2026-04-08T03:23:16.316094080,imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,302,2026-04-08 03:23:16.316094080,2026-04-08
829224197712431232,1,0.0770363277446443,tof_high,2026-04-12T00:02:08.528431232,imap_idex_l1b_sci-10days_20260410_v001.0017.cdf,4,2026-04-12 00:02:08.528431232,2026-04-12
829343897371378176,1,0.0508365032403503,tof_high,2026-04-13T09:17:08.187378176,imap_idex_l1b_sci-10days_20260410_v001.0017.cdf,13,2026-04-13 09:17:08.187378176,2026-04-13
829779806322264704,1,0.0426153846153852,tof_high,2026-04-18T10:22:17.138264704,imap_idex_l1b_sci-10days_20260410_v001.0017.cdf,17,2026-04-18 10:22:17.138264704,2026-04-18
829817689970915584,1,0.0433299595141696,tof_high,2026-04-18T20:53:40.786915584,imap_idex_l1b_sci-10days_20260410_v001.0017.cdf,19,2026-04-18 20:53:40.786915584,2026-04-18
829915405080626944,1,0.092852628592065,tof_high,2026-04-20T00:02:15.896626944,imap_idex_l1b_sci-10days_20260420_v001.0017.cdf,4,2026-04-20 00:02:15.896626944,2026-04-20
830468832133131648,1,0.0459340659340657,tof_high,2026-04-26T09:46:02.949131648,imap_idex_l1b_sci-10days_20260420_v001.0017.cdf,13,2026-04-26 09:46:02.949131648,2026-04-26
830493523985104256,1,0.0411217948717955,tof_high,2026-04-26T16:37:34.801104256,imap_idex_l1b_sci-10days_20260420_v001.0017.cdf,15,2026-04-26 16:37:34.801104256,2026-04-26
830567543833190400,1,0.0401424501424496,tof_high,2026-04-27T13:11:14.649190400,imap_idex_l1b_sci-10days_20260420_v001.0017.cdf,18,2026-04-27 13:11:14.649190400,2026-04-27
830617523593400960,1,0.0501972386587776,tof_high,2026-04-28T03:04:14.409400960,imap_idex_l1b_sci-10days_20260420_v001.0017.cdf,29,2026-04-28 03:04:14.409400960,2026-04-28
830952710184387456,1,0.0403579059829063,tof_high,2026-05-02T00:10:41.000387456,imap_idex_l1b_sci-10days_20260430_v001.0017.cdf,5,2026-05-02 00:10:41.000387456,2026-05-02
831270570154620928,1,0.0425842696629213,tof_high,2026-05-05T16:28:20.970620928,imap_idex_l1b_sci-10days_20260430_v001.0017.cdf,12,2026-05-05 16:28:20.970620928,2026-05-05
831297803974274560,1,0.0928929765886285,tof_high,2026-05-06T00:02:14.790274560,imap_idex_l1b_sci-10days_20260430_v001.0017.cdf,17,2026-05-06 00:02:14.790274560,2026-05-06
831888718204757760,1,0.0411013986013988,tof_high,2026-05-12T20:10:49.020757760,imap_idex_l1b_sci-10days_20260510_v001.0017.cdf,4,2026-05-12 20:10:49.020757760,2026-05-12
832156145611093760,1,0.0509384245562128,tof_high,2026-05-15T22:27:56.427093760,imap_idex_l1b_sci-10days_20260510_v001.0017.cdf,19,2026-05-15 22:27:56.427093760,2026-05-15
832785638971414144,1,0.0446196266968324,tof_high,2026-05-23T05:19:29.787414144,imap_idex_l1b_sci-10days_20260520_v001.0017.cdf,14,2026-05-23 05:19:29.787414144,2026-05-23
833094822116477696,1,0.0421945701357464,tof_high,2026-05-26T19:12:32.932477696,imap_idex_l1b_sci-10days_20260520_v001.0017.cdf,20,2026-05-26 19:12:32.932477696,2026-05-26
833301490885247744,1,0.0414080071974807,tof_high,2026-05-29T04:37:01.701247744,imap_idex_l1b_sci-10days_20260520_v001.0017.cdf,26,2026-05-29 04:37:01.701247744,2026-05-29
833878681511891456,1,0.040854354821966,tof_high,2026-06-04T20:56:52.327891456,imap_idex_l1b_sci-10days_20260530_v001.0023.cdf,23,2026-06-04 20:56:52.327891456,2026-06-04
