date,l1b_event_count,single_ge20ns_count,single_ge40ns_count,single_ge20ns_fraction,single_ge40ns_fraction,omni_hour_count,proton_density_cm3,flow_speed_km_s,flow_pressure_npa,scalar_b_nt,bz_gsm_nt_mean,bz_gsm_nt_min,proton_flux_cm2_s
2026-01-11,0.0,0.0,0.0,0.0,0.0,24,4.820833333333334,527.0416666666666,2.7550000000000003,11.595833333333333,-2.15,-9.3,253228333.33333334
2026-01-12,3.0,0.0,0.0,0.0,0.0,24,2.1708333333333334,541.9166666666666,1.3604166666666666,7.479166666666667,-1.1583333333333334,-5.1,118510833.33333333
2026-01-13,9.0,0.0,0.0,0.0,0.0,24,1.4708333333333334,540.25,0.855,6.716666666666666,0.7625000000000001,-2.9,80220000.0
2026-01-14,13.0,0.0,0.0,0.0,0.0,24,1.7291666666666667,507.8333333333333,0.9445833333333334,6.5874999999999995,0.5291666666666667,-0.9,89754583.33333333
2026-01-15,10.0,0.0,0.0,0.0,0.0,24,4.166666666666667,581.0,2.8520833333333333,4.958333333333333,-0.08749999999999998,-4.3,242846250.0
2026-01-16,19.0,0.0,0.0,0.0,0.0,24,6.504166666666666,648.6666666666666,5.260833333333333,10.075000000000001,1.4000000000000001,-3.1,413498333.3333333
2026-01-17,19.0,0.0,0.0,0.0,0.0,24,2.9499999999999997,701.875,2.8129166666666667,7.825,0.2541666666666667,-2.5,206567500.0
2026-01-18,19.0,0.0,0.0,0.0,0.0,24,2.4125,568.5416666666666,1.6220833333333333,8.049999999999999,-1.2874999999999999,-2.9,138721250.0
2026-01-19,307.0,0.0,0.0,0.0,0.0,24,5.508333333333333,557.4166666666666,8.464166666666667,14.75,3.133333333333333,-21.8,447632916.6666667
2026-01-20,326.0,0.0,0.0,0.0,0.0,24,5.354166666666667,913.25,9.512083333333333,26.445833333333336,-3.404166666666667,-19.3,497711250.0
2026-01-21,0.0,0.0,0.0,0.0,0.0,24,3.170833333333333,668.9166666666666,3.6500000000000004,7.325,-1.6833333333333333,-6.0,223290000.0
2026-01-22,261.0,0.0,0.0,0.0,0.0,24,3.595833333333333,537.7916666666666,2.2104166666666667,8.225,0.6333333333333333,-6.9,192705416.66666666
2026-01-23,75.0,0.0,0.0,0.0,0.0,24,4.0625,540.125,2.34,6.3999999999999995,-2.175,-5.6,215127916.66666666
