source_file,record_index,epoch_tt2000,epoch_utc,quicklook_classification,selection_source,l2a_source_file,l2a_record_index,l2a_target_low_impact_charge,l2a_target_high_impact_charge,l2a_ion_grid_impact_charge,l2a_target_low_chi_squared,l2a_target_high_chi_squared,l2a_ion_grid_chi_squared,l2a_target_low_reduced_chi_squared,l2a_target_high_reduced_chi_squared,l2a_ion_grid_reduced_chi_squared,l2a_tof_snr,seconds_since_previous_pulser,test_id,injection_index,test_start_utc,l2a_inferred_injection_level,pulser_like_l2a_charge,injection_level,injection_level_source,injection_repeat_index,test_event_count
imap_idex_l1b_sci-10days_20251027_v003.cdf,2,815539412675244032,2025-11-04T14:42:23.491244032,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,2,75.5206264678709,81.1967321484272,0.2839460413025645,40740.51315273184,60.80390954459573,0.0009535382647774562,80.35604172136458,0.11992881566981407,1.880746084373681e-06,,5.999894528,2,2,2025-11-04 14:42:17.491349,1.0,True,1,l2a_ion_grid_charge,2,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,3,815539418675138560,2025-11-04T14:42:29.491138560,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,3,78.31620522805679,81.14926106227676,0.28396736722275895,37318.67135169926,58.823895240644624,0.0010186387904476996,73.60684684753306,0.11602346201310577,2.0091494880625236e-06,,5.999894528,2,3,2025-11-04 14:42:17.491349,1.0,True,1,l2a_ion_grid_charge,3,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,4,815539424675013248,2025-11-04T14:42:35.491013248,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,4,77.03492510558135,81.16635849305555,0.2841117211588322,42482.98607922414,57.98739923273074,0.000920585469687802,83.79287195113243,0.11437356850637226,1.8157504333092743e-06,,5.999874688,2,4,2025-11-04 14:42:17.491349,1.0,True,1,l2a_ion_grid_charge,4,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,5,815539430674907648,2025-11-04T14:42:41.490907648,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,5,77.18015114684749,81.17253788715209,0.28402979136468587,40563.833005583045,60.137932402341505,0.0010035430832333945,80.00756016880285,0.11861525128666964,1.9793749176201078e-06,,5.9998944,2,5,2025-11-04 14:42:17.491349,1.0,True,1,l2a_ion_grid_charge,5,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,6,815539526673121024,2025-11-04T14:44:17.489121024,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,6,158.690218989821,162.20814391416104,0.57419902507859,39748.00037559401,123.83598912646104,0.0024171113527746277,78.39842283154637,0.2442524440364123,4.767478013362185e-06,,95.998213376,2,6,2025-11-04 14:42:17.491349,2.0,True,2,l2a_ion_grid_charge,1,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,7,815539532673015424,2025-11-04T14:44:23.489015424,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,7,156.0141643413226,162.36811168463214,0.5746093187370783,40893.56820512192,140.2048544891085,0.0026309065423979687,80.65792545388939,0.2765381745347308,5.189164777905264e-06,,5.9998944,2,7,2025-11-04 14:42:17.491349,2.0,True,2,l2a_ion_grid_charge,2,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,8,815539538672890112,2025-11-04T14:44:29.488890112,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,8,157.41605711839293,162.36516486208694,0.5747213763863517,39869.30098236377,145.85050550855388,0.0027188383349622093,78.63767452142756,0.28767358088472167,5.362600266197652e-06,,5.999874688,2,8,2025-11-04 14:42:17.491349,2.0,True,2,l2a_ion_grid_charge,3,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,9,815539544672784640,2025-11-04T14:44:35.488784640,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,9,155.5976921532856,162.35945723478306,0.5747926021101429,42861.98963034789,145.93931110511033,0.0027201437476463116,84.54041347208657,0.28784873985228865,5.365175044667281e-06,,5.999894528,2,9,2025-11-04 14:42:17.491349,2.0,True,2,l2a_ion_grid_charge,4,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,10,815539550672679296,2025-11-04T14:44:41.488679296,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,10,153.49915360614614,162.3903350148102,0.574552866977838,46025.32161694604,143.024129843784,0.0025598598168342134,90.7797270551204,0.2820988754315267,5.049033169298251e-06,,5.999894656,2,10,2025-11-04 14:42:17.491349,2.0,True,2,l2a_ion_grid_charge,5,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,11,815539646670912512,2025-11-04T14:46:17.486912512,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,11,234.7695241610163,243.68476461098442,0.8637504345526255,39966.36379405059,213.20509401105832,0.004400960747238767,78.82911990937,0.4205228678719099,8.680395951161276e-06,,95.998233216,2,11,2025-11-04 14:42:17.491349,3.0,True,3,l2a_ion_grid_charge,1,25
