source_file,record_index,epoch_tt2000,epoch_utc,channel,cdf_variable,baseline_method,baseline,robust_sigma,mean,std,sample_count
imap_idex_l1b_sci-10days_20251106_v003.cdf,24,815735090561493120,2025-11-06T21:03:41.377493120,TOF H,TOF_High,mean,0.14773627768958358,0.0009418627025766485,0.14773627768958358,0.0007703784003863881,8189
imap_idex_l1b_sci-10days_20251106_v003.cdf,24,815735090561493120,2025-11-06T21:03:41.377493120,TOF M,TOF_Mid,mean,5.791977897179143,0.009455870357797493,5.791977897179143,0.011654771503112825,8189
imap_idex_l1b_sci-10days_20251106_v003.cdf,24,815735090561493120,2025-11-06T21:03:41.377493120,TOF L,TOF_Low,mean,263.83239003541337,1.3011445334961096,263.83239003541337,0.9239542812096501,8189
imap_idex_l1b_sci-10days_20251106_v003.cdf,24,815735090561493120,2025-11-06T21:03:41.377493120,Target H,Target_High,mean,333.17391015625003,0.00283199765625809,333.17391015625003,0.12095477805507329,512
imap_idex_l1b_sci-10days_20251106_v003.cdf,24,815735090561493120,2025-11-06T21:03:41.377493120,Target L,Target_Low,mean,32604.935546875007,9.287678203115291,32604.935546875007,9.738614450714719,512
imap_idex_l1b_sci-10days_20251106_v003.cdf,24,815735090561493120,2025-11-06T21:03:41.377493120,Ion Grid,Ion_Grid,mean,1.5097714101562498,0.00019657770234420683,1.5097714101562498,0.0004578116464736125,512
imap_idex_l1b_sci-10days_20251126_v003.cdf,23,817732986008159104,2025-11-30T00:01:56.824159104,TOF H,TOF_High,mean,0.1476994336304799,0.0008872377005495406,0.1476994336304799,0.0007896565486283081,8189
imap_idex_l1b_sci-10days_20251126_v003.cdf,23,817732986008159104,2025-11-30T00:01:56.824159104,TOF M,TOF_Mid,mean,5.793023861277323,0.0110066167297597,5.793023861277323,0.011482368084831702,8189
imap_idex_l1b_sci-10days_20251126_v003.cdf,23,817732986008159104,2025-11-30T00:01:56.824159104,TOF L,TOF_Low,mean,263.75976846989863,1.4088132665282587,263.75976846989863,0.8949463963096,8189
imap_idex_l1b_sci-10days_20251126_v003.cdf,23,817732986008159104,2025-11-30T00:01:56.824159104,Target H,Target_High,mean,333.149078125,0.20767982812500335,333.149078125,0.12179815586241874,512
imap_idex_l1b_sci-10days_20251126_v003.cdf,23,817732986008159104,2025-11-30T00:01:56.824159104,Target L,Target_Low,mean,32604.873828125008,9.379182421864213,32604.873828125008,8.967237382993247,512
imap_idex_l1b_sci-10days_20251126_v003.cdf,23,817732986008159104,2025-11-30T00:01:56.824159104,Ion Grid,Ion_Grid,mean,1.50950040234375,0.0005076457148436563,1.50950040234375,0.0004581824680812777,512
imap_idex_l1b_sci-10days_20251126_v003.cdf,29,817733038007812352,2025-11-30T00:02:48.823812352,TOF H,TOF_High,mean,0.14772741958725116,0.0009287296800586013,0.14772741958725116,0.0008367032658875731,8189
imap_idex_l1b_sci-10days_20251126_v003.cdf,29,817733038007812352,2025-11-30T00:02:48.823812352,TOF M,TOF_Mid,mean,5.792235938454024,0.009838442351935971,5.792235938454024,0.011521313762592064,8189
imap_idex_l1b_sci-10days_20251126_v003.cdf,29,817733038007812352,2025-11-30T00:02:48.823812352,TOF L,TOF_Low,mean,263.7725729637318,1.3898293239711759,263.7725729637318,0.8847072388537192,8189
imap_idex_l1b_sci-10days_20251126_v003.cdf,29,817733038007812352,2025-11-30T00:02:48.823812352,Target H,Target_High,mean,333.26273242187506,0.1345198886719222,333.26273242187506,0.11488804283441303,512
imap_idex_l1b_sci-10days_20251126_v003.cdf,29,817733038007812352,2025-11-30T00:02:48.823812352,Target L,Target_Low,mean,32604.410937500008,10.065464062489212,32604.410937500008,9.302143858868545,512
imap_idex_l1b_sci-10days_20251126_v003.cdf,29,817733038007812352,2025-11-30T00:02:48.823812352,Ion Grid,Ion_Grid,mean,1.5097131289062498,0.00028298548359430997,1.5097131289062498,0.0004884315608488187,512
imap_idex_l1b_sci-10days_20251126_v003.cdf,30,817733050007721600,2025-11-30T00:03:00.823721600,TOF H,TOF_High,mean,0.1477478532177311,0.0009590245806081492,0.1477478532177311,0.00080757510506433,8189
imap_idex_l1b_sci-10days_20251126_v003.cdf,30,817733050007721600,2025-11-30T00:03:00.823721600,TOF M,TOF_Mid,mean,5.792972804982293,0.01093092066674823,5.792972804982293,0.011529427133717277,8189
imap_idex_l1b_sci-10days_20251126_v003.cdf,30,817733050007721600,2025-11-30T00:03:00.823721600,TOF L,TOF_Low,mean,263.733343509586,1.447990912687756,263.733343509586,0.8842980578743094,8189
imap_idex_l1b_sci-10days_20251126_v003.cdf,30,817733050007721600,2025-11-30T00:03:00.823721600,Target H,Target_High,mean,333.20765625,0.1887998437500337,333.20765625,0.12129116166662199,512
imap_idex_l1b_sci-10days_20251126_v003.cdf,30,817733050007721600,2025-11-30T00:03:00.823721600,Target L,Target_Low,mean,32607.188281250008,5.947774218739212,32607.188281250008,9.130829654028748,512
imap_idex_l1b_sci-10days_20251126_v003.cdf,30,817733050007721600,2025-11-30T00:03:00.823721600,Ion Grid,Ion_Grid,mean,1.5095353710937498,0.0005594903835934548,1.5095353710937498,0.00047774408333800615,512
imap_idex_l1b_sci-10days_20251126_v003.cdf,31,817733062007650816,2025-11-30T00:03:12.823650816,TOF H,TOF_High,mean,0.1477460886555135,0.0009564084406643454,0.1477460886555135,0.0007951502179137276,8189
imap_idex_l1b_sci-10days_20251126_v003.cdf,31,817733062007650816,2025-11-30T00:03:12.823650816,TOF M,TOF_Mid,mean,5.7937427891073385,0.012072499130540652,5.7937427891073385,0.011426064507958987,8189
imap_idex_l1b_sci-10days_20251126_v003.cdf,31,817733062007650816,2025-11-30T00:03:12.823650816,TOF L,TOF_Low,mean,263.78387104652586,1.3730787864207294,263.78387104652586,0.8955553271443846,8189
imap_idex_l1b_sci-10days_20251126_v003.cdf,31,817733062007650816,2025-11-30T00:03:12.823650816,Target H,Target_High,mean,333.166587890625,0.008023993359397923,333.166587890625,0.12020290499397125,512
imap_idex_l1b_sci-10days_20251126_v003.cdf,31,817733062007650816,2025-11-30T00:03:12.823650816,Target L,Target_Low,mean,32604.781250000007,9.516438749990291,32604.781250000007,9.090901615763553,512
imap_idex_l1b_sci-10days_20251126_v003.cdf,31,817733062007650816,2025-11-30T00:03:12.823650816,Ion Grid,Ion_Grid,mean,1.50979763671875,0.00015769420078144643,1.50979763671875,0.00048743956442235797,512
imap_idex_l1b_sci-10days_20251126_v003.cdf,32,817733074007560064,2025-11-30T00:03:24.823560064,TOF H,TOF_High,mean,0.1477262196849432,0.000926950704896823,0.1477262196849432,0.0007875310944894426,8189
imap_idex_l1b_sci-10days_20251126_v003.cdf,32,817733074007560064,2025-11-30T00:03:24.823560064,TOF M,TOF_Mid,mean,5.7932681035535465,0.011368730328488568,5.7932681035535465,0.01145966985974912,8189
imap_idex_l1b_sci-10days_20251126_v003.cdf,32,817733074007560064,2025-11-30T00:03:24.823560064,TOF L,TOF_Low,mean,263.7674260593479,1.3974601244107976,263.7674260593479,0.8934538791825047,8189
imap_idex_l1b_sci-10days_20251126_v003.cdf,32,817733074007560064,2025-11-30T00:03:24.823560064,Target H,Target_High,mean,333.16499609375006,0.010383991406195388,333.16499609375006,0.12119586414041893,512
imap_idex_l1b_sci-10days_20251126_v003.cdf,32,817733074007560064,2025-11-30T00:03:24.823560064,Target L,Target_Low,mean,32603.639453125004,11.71253999999946,32603.639453125004,9.15140475970329,512
imap_idex_l1b_sci-10days_20251126_v003.cdf,32,817733074007560064,2025-11-30T00:03:24.823560064,Ion Grid,Ion_Grid,mean,1.5093765546874998,0.000324029179687146,1.5093765546874998,0.0004890679002672464,512
imap_idex_l1b_sci-10days_20251206_v003.cdf,126,818510585907882368,2025-12-09T00:01:56.723882368,TOF H,TOF_High,mean,0.14771976138722678,0.0009173756327024561,0.14771976138722678,0.0007850192358181733,8189
imap_idex_l1b_sci-10days_20251206_v003.cdf,126,818510585907882368,2025-12-09T00:01:56.723882368,TOF M,TOF_Mid,mean,5.792411185736965,0.0100982639736247,5.792411185736965,0.011460159851226653,8189
imap_idex_l1b_sci-10days_20251206_v003.cdf,126,818510585907882368,2025-12-09T00:01:56.723882368,TOF L,TOF_Low,mean,263.7640994016363,1.4023922271339686,263.7640994016363,0.8905653858342403,8189
imap_idex_l1b_sci-10days_20251206_v003.cdf,126,818510585907882368,2025-12-09T00:01:56.723882368,Target H,Target_High,mean,333.132841796875,0.0580559519531223,333.132841796875,0.11647907692971324,512
imap_idex_l1b_sci-10days_20251206_v003.cdf,126,818510585907882368,2025-12-09T00:01:56.723882368,Target L,Target_Low,mean,32607.06484375001,6.130782656237055,32607.06484375001,9.340353394710391,512
