epoch_utc,source_file,record_index,baseline,robust_sigma,std,mean,mad,exact_median_count,exact_median_fraction,one_lsb_deviation_count,one_lsb_deviation_fraction,sample_count,unique_value_count,min_value,max_value
2025-11-04T14:40:36.492580736,imap_idex_l1b_sci-10days_20251027_v003.cdf,0,333.009,0.1060738849272978,0.1060738849272978,332.98002929687505,0.0,297,0.580078125,209,0.408203125,512,5,332.683,333.33500000000004
2025-10-01T16:40:05.136989312,imap_idex_l1b_sci-10days_20250927_v003.cdf,0,333.009,0.1063301248893552,0.1063301248893552,333.02682812500007,0.0,309,0.603515625,196,0.3828125,512,5,332.683,333.33500000000004
2026-05-22T00:01:44.287916672,imap_idex_l1b_sci-10days_20260520_v016.cdf,4,333.009,0.1065871751782408,0.1065871751782408,333.05166015625,0.0,296,0.578125,205,0.400390625,512,5,332.846,333.498
2026-04-04T00:03:15.071350912,imap_idex_l1b_sci-10days_20260331_v016.cdf,272,333.172,0.1096890121138421,0.1096890121138421,333.20351757812506,0.0,288,0.5625,215,0.419921875,512,5,332.846,333.498
2026-03-03T00:03:05.464116224,imap_idex_l1b_sci-10days_20260301_v003.cdf,11,333.172,0.1100837739295119,0.1100837739295119,333.14366601562506,0.0,299,0.583984375,201,0.392578125,512,4,332.846,333.33500000000004
2026-03-27T00:01:47.642192640,imap_idex_l1b_sci-10days_20260321_v016.cdf,20,333.172,0.1107410237310774,0.1107410237310774,333.18377929687506,0.0,297,0.580078125,207,0.404296875,512,5,332.846,333.498
2026-05-22T00:03:00.287391232,imap_idex_l1b_sci-10days_20260520_v016.cdf,12,333.172,0.1111247524091429,0.1111247524091429,333.17932226562505,0.0,294,0.57421875,211,0.412109375,512,5,332.846,333.498
2026-01-22T00:01:52.791935232,imap_idex_l1b_sci-10days_20260120_v003.cdf,326,333.172,0.1130350641182461,0.1130350641182461,333.19874218750005,0.0,285,0.556640625,216,0.421875,512,5,332.846,333.498
2026-06-23T00:03:09.903325568,imap_idex_l1b_sci-10days_20260619_v015.cdf,15,333.172,0.1131856007830075,0.1131856007830075,333.22548437500006,0.0,261,0.509765625,234,0.45703125,512,5,332.846,333.498
2025-12-25T00:02:59.052281472,imap_idex_l1b_sci-10days_20251216_v003.cdf,157,333.172,0.1131856007830081,0.1131856007830081,333.2051093750001,0.0,286,0.55859375,212,0.4140625,512,5,332.846,333.498
2026-03-11T00:01:48.945471616,imap_idex_l1b_sci-10days_20260311_v003.cdf,0,333.172,0.1132070896799753,0.1132070896799753,333.1911015625001,0.0,282,0.55078125,222,0.43359375,512,5,332.846,333.498
2026-01-22T00:03:08.791447936,imap_idex_l1b_sci-10days_20260120_v003.cdf,334,333.172,0.1132697423438432,0.1132697423438432,333.20319921875006,0.0,288,0.5625,210,0.41015625,512,5,332.846,333.498
2025-11-06T20:24:22.301125120,imap_idex_l1b_sci-10days_20251106_v003.cdf,0,333.172,0.1133287831309359,0.1133287831309359,333.20765625,0.0,273,0.533203125,228,0.4453125,512,5,332.846,333.498
2025-12-25T00:03:23.052120192,imap_idex_l1b_sci-10days_20251216_v003.cdf,159,333.172,0.1135856103722556,0.1135856103722556,333.20288085937506,0.0,269,0.525390625,235,0.458984375,512,5,332.846,333.498
2026-03-19T00:03:04.915924608,imap_idex_l1b_sci-10days_20260311_v003.cdf,24,333.172,0.1145368368537431,0.1145368368537431,333.20956640625,0.0,276,0.5390625,223,0.435546875,512,6,332.846,333.661
2026-06-07T00:03:10.613833216,imap_idex_l1b_sci-10days_20260530_v022.cdf,46,333.172,0.1154552121208093,0.1154552121208093,333.16435937500006,0.0,289,0.564453125,213,0.416015625,512,6,332.683,333.498
2025-12-09T00:03:12.723394176,imap_idex_l1b_sci-10days_20251206_v003.cdf,134,333.172,0.1156919896075447,0.1156919896075447,333.17008984375,0.0,278,0.54296875,226,0.44140625,512,5,332.846,333.498
2026-06-07T00:02:58.613923584,imap_idex_l1b_sci-10days_20260530_v022.cdf,45,333.172,0.1160366424039077,0.1160366424039077,333.2012890625,0.0,269,0.525390625,232,0.453125,512,5,332.846,333.498
2026-05-30T00:02:47.439841280,imap_idex_l1b_sci-10days_20260530_v022.cdf,7,333.172,0.1160920934956902,0.1160920934956902,333.18505273437506,0.0,282,0.55078125,219,0.427734375,512,5,332.846,333.498
2026-05-06T00:03:12.789004288,imap_idex_l1b_sci-10days_20260430_v016.cdf,22,333.172,0.1164581917822816,0.1164581917822816,333.162767578125,0.0,291,0.568359375,207,0.404296875,512,5,332.846,333.498
2025-12-09T00:01:56.723882368,imap_idex_l1b_sci-10days_20251206_v003.cdf,126,333.172,0.1164790769297132,0.1164790769297132,333.132841796875,0.0,272,0.53125,223,0.435546875,512,4,332.846,333.33500000000004
2026-02-15T00:03:07.001235328,imap_idex_l1b_sci-10days_20260209_v003.cdf,13,333.172,0.1166738246919903,0.1166738246919903,333.16022070312505,0.0,286,0.55859375,213,0.416015625,512,5,332.846,333.498
2026-04-20T00:03:13.895336576,imap_idex_l1b_sci-10days_20260420_v016.cdf,9,333.172,0.1167016192712126,0.1167016192712126,333.129658203125,0.0,283,0.552734375,208,0.40625,512,5,332.683,333.33500000000004
2025-12-17T00:03:11.508031616,imap_idex_l1b_sci-10days_20251216_v003.cdf,23,333.172,0.1167663028941922,0.1167663028941922,333.20192578125005,0.0,274,0.53515625,224,0.4375,512,5,332.846,333.498
2026-04-04T00:03:03.071421312,imap_idex_l1b_sci-10days_20260331_v016.cdf,271,333.172,0.1175914555877544,0.1175914555877544,333.20383593750006,0.0,280,0.546875,214,0.41796875,512,5,332.846,333.498
2026-03-27T00:03:03.641706368,imap_idex_l1b_sci-10days_20260321_v016.cdf,29,333.172,0.1176530656725651,0.1176530656725651,333.1926933593751,0.0,297,0.580078125,195,0.380859375,512,5,332.846,333.498
2026-01-22T00:02:56.791538432,imap_idex_l1b_sci-10days_20260120_v003.cdf,333,333.172,0.1180645517844475,0.1180645517844475,333.2082929687501,0.0,269,0.525390625,226,0.44140625,512,5,332.846,333.498
2026-01-14T00:03:21.902297856,imap_idex_l1b_sci-10days_20260110_v003.cdf,21,333.172,0.1181606592356054,0.1181606592356054,333.17900390625005,0.0,278,0.54296875,222,0.43359375,512,5,332.846,333.498
